DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
27724652S,Clara,Sánchez Martínez,Clara Sánchez Martínez,Sí,Espanya,Barcelona,18,3,1996,Dona,1315.65,Sí,Grup A,1996-03-18,30,0.05
38141675A,Fatima,Fassi,Fatima Fassi,No,Marroc,Rabat,6,11,2005,Altres,1513.05,Sí,Grup A,2005-11-06,20,0.05
69630528M,Toni,Sánchez García,Toni Sánchez García,Sí,Espanya,Barcelona,9,8,1999,Home,1095.15,No,Grup A,1999-08-09,26,0.05
78247593G,Carla,García,Carla García,Sí,Espanya,València,24,12,1957,Dona,989.1,No,Grup A,1957-12-24,68,0.05
21774231J,Marco,Rossi,Marco Rossi,No,Itàlia,Torí,3,11,2002,Altres,1568.7,No,Grup A,2002-11-03,23,0.05
87316866D,Alessia,Rossi,Alessia Rossi,No,Itàlia,Milà,6,12,1989,Dona,1434.3,No,Grup A,1989-12-06,36,0.05
14219925Z,Toni,Martínez,Toni Martínez,Sí,Espanya,Barcelona,16,5,1964,Home,935.55,No,Grup A,1964-05-16,62,0.05
40695825B,Oriol,Sánchez,Oriol Sánchez,Sí,Espanya,Barcelona,27,7,1965,Home,1312.5,No,Grup A,1965-07-27,60,0.05
66129686T,Jean,Dubois,Jean Dubois,No,França,Marsella,16,12,1964,Home,1672.65,Sí,Grup A,1964-12-16,61,0.05
83982081H,Eva,Castells,Eva Castells,Sí,Espanya,Sevilla,3,5,1968,,1309.35,Sí,Grup A,1968-05-03,58,0.05
86981189A,Camila,Hernández Ramírez,Camila Hernández Ramírez,No,Mèxic,Guadalajara,17,12,1996,Dona,1228.5,Sí,Grup A,1996-12-17,29,0.05
13107162J,Núria,Castells,Núria Castells,Sí,Espanya,Barcelona,2,7,2005,Dona,1411.2,Sí,Grup A,2005-07-02,21,0.05
28973553Z,Mia,Schneider Fischer,Mia Schneider Fischer,No,Alemanya,Berlín,22,10,1976,Altres,998.55,No,Grup A,1976-10-22,49,0.05
43855905B,Eva,Castells,Eva Castells,Sí,Espanya,Madrid,1,12,1965,Dona,922.95,No,Grup A,1965-12-01,60,0.05
89977538X,Oriol,López Martínez,Oriol López Martínez,Sí,Espanya,Barcelona,25,6,1952,Home,1069.95,Sí,Grup A,1952-06-25,74,0.05
47103299Z,Núria,Ferrer Romero,Núria Ferrer Romero,Sí,Espanya,València,6,2,2003,,1318.8,No,Grup A,2003-02-06,23,0.05
18876645B,Matías,Gómez Álvarez,Matías Gómez Álvarez,No,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,Grup A,1955-12-04,70,0.05
48870261R,Jordi,Sánchez,Jordi Sánchez,Sí,Espanya,Bilbao,16,8,1962,Home,779.1,No,Grup A,1962-08-16,63,0.05
67466708W,Jordi,Romero,Jordi Romero,Sí,Espanya,Barcelona,27,8,1968,Home,848.4,No,Grup A,1968-08-27,57,0.05
95012750D,Carla,García,Carla García,Sí,Espanya,Sevilla,17,5,1952,Dona,1011.15,Sí,Grup A,1952-05-17,74,0.05
42754306Q,Toni,López Sánchez,Toni López Sánchez,Sí,Espanya,Barcelona,25,2,1975,Home,1039.5,No,Grup A,1975-02-25,51,0.05
17856143W,Anna,Martínez Martínez,Anna Martínez Martínez,Sí,Espanya,Bilbao,26,9,1972,Dona,819.0,No,Grup A,1972-09-26,53,0.05
38605068P,Toni,Martínez,Toni Martínez,Sí,Espanya,Sevilla,24,7,1982,Home,1590.75,Sí,Grup A,1982-07-24,43,0.05
71226479A,Toni,Sánchez García,Toni Sánchez García,Sí,Espanya,Bilbao,28,2,2000,Home,1450.05,No,Grup A,2000-02-28,26,0.05
10911456V,Marta,López,Marta López,Sí,Espanya,Sevilla,6,6,1954,Dona,1558.2,No,Grup A,1954-06-06,72,0.05
58027402M,Joan,López,Joan López,Sí,Espanya,Madrid,5,3,1957,Home,1015.35,No,Grup A,1957-03-05,69,0.05
29075001G,Eva,Ferrer,Eva Ferrer,Sí,Espanya,Madrid,27,1,1974,Dona,1051.05,No,Grup A,1974-01-27,52,0.05
75145716V,Joan,López,Joan López,Sí,Espanya,València,1,2,1952,Home,1577.1,No,Grup A,1952-02-01,74,0.05
83083855T,Oriol,García,Oriol García,Sí,Espanya,València,12,6,2002,Home,1352.4,Sí,Grup A,2002-06-12,24,0.05
66876326G,Jordi,Sánchez,Jordi Sánchez,Sí,Espanya,València,19,6,1984,Home,1305.15,Sí,Grup A,1984-06-19,42,0.05
55802716W,Miguel,González,Miguel González,No,Mèxic,Ciutat de Mèxic,22,3,2002,Home,1607.55,No,Grup A,2002-03-22,24,0.05
86310227T,Núria,Martínez,Núria Martínez,Sí,Espanya,Madrid,19,3,1986,Dona,1475.25,No,Grup A,1986-03-19,40,0.05
79942683D,Valentina,Torres Torres,Valentina Torres Torres,No,Colòmbia,Medellín,24,7,1951,,1314.6,No,Grup A,1951-07-24,74,0.05
17393705Z,Joan,Castells,Joan Castells,Sí,Espanya,Barcelona,10,12,1975,Home,1750.35,Sí,Grup A,1975-12-10,50,0.05
94678339J,Anna,Martínez Martínez,Anna Martínez Martínez,Sí,Espanya,Sevilla,10,4,1985,Dona,1399.65,No,Grup A,1985-04-10,41,0.05
82819660N,Michel,Moreau,Michel Moreau,No,França,Lió,2,5,1970,Home,850.5,No,Grup A,1970-05-02,56,0.05
98082914F,Anna,Ferrer Sánchez,Anna Ferrer Sánchez,Sí,Espanya,Bilbao,21,10,1982,Dona,1389.15,No,Grup A,1982-10-21,43,0.05
96108474K,Clara,García,Clara García,Sí,Espanya,Sevilla,10,3,1955,Dona,849.45,No,Grup A,1955-03-10,71,0.05
96617848Y,Valentina,Gutiérrez Castro,Valentina Gutiérrez Castro,No,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,Grup A,2001-01-02,25,0.05
14944003P,Arnau,Sánchez López,Arnau Sánchez López,Sí,Espanya,Barcelona,28,6,1960,Home,1171.8,No,Grup A,1960-06-28,66,0.05
34050427S,Daniela,Castro Castro,Daniela Castro Castro,No,Colòmbia,Medellín,25,12,1980,Dona,1225.35,No,Grup A,1980-12-25,45,0.05
64134967K,Clara,Sánchez,Clara Sánchez,Sí,Espanya,Bilbao,1,10,1965,Dona,857.85,Sí,Grup A,1965-10-01,60,0.05
98288475Z,Youssef,Bennani,Youssef Bennani,No,Marroc,Casablanca,20,9,1957,Home,819.0,Sí,Grup A,1957-09-20,68,0.05
80981912X,Eva,Martínez,Eva Martínez,Sí,Espanya,Barcelona,11,9,1974,Dona,822.15,No,Grup A,1974-09-11,51,0.05
49728917R,Sophie,Taylor,Sophie Taylor,No,Regne Unit,Londres,27,2,1983,Dona,1542.45,No,Grup A,1983-02-27,43,0.05
64074954W,Mohamed,Zahraoui,Mohamed Zahraoui,No,Marroc,Rabat,18,11,1950,Home,1570.8,No,Grup A,1950-11-18,75,0.05
31039740J,Anna,Castells,Anna Castells,Sí,Espanya,Bilbao,20,3,1987,Dona,1450.05,No,Grup A,1987-03-20,39,0.05
76740096F,Joan,Romero Romero,Joan Romero Romero,Sí,Espanya,Barcelona,21,2,1999,Home,1620.15,Sí,Grup A,1999-02-21,27,0.05
42373200J,Anna,Sánchez,Anna Sánchez,Sí,Espanya,Barcelona,17,7,1984,Altres,1509.9,Sí,Grup A,1984-07-17,41,0.05
91877877E,Tiago,Ferreira,Tiago Ferreira,No,Portugal,Porto,22,11,1993,Home,1308.3,Sí,Grup A,1993-11-22,32,0.05
92828803F,Eva,Romero,Eva Romero,Sí,Espanya,València,16,4,1985,Dona,1130.85,Sí,Grup A,1985-04-16,41,0.05
24213568B,Felipe,Torres,Felipe Torres,No,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Sí,Grup A,1970-03-19,56,0.05
69934163X,Laia,Martínez Ferrer,Laia Martínez Ferrer,Sí,Espanya,Bilbao,19,10,1956,Dona,1030.05,Sí,Grup A,1956-10-19,69,0.05
