DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
16928694K,Inês,Ferreira Silva,Inês Ferreira Silva,No,Portugal,Lisboa,25,2,1953,Dona,1184.04,No,Grup B,1953-02-25,73,0.035
59157262R,Khadija,Bennani Bennani,Khadija Bennani Bennani,No,Marroc,Rabat,20,1,1995,Dona,2012.04,No,Grup B,1995-01-20,31,0.035
74222289K,Toni,Castells Romero,Toni Castells Romero,Sí,Espanya,Barcelona,13,4,1961,Home,1488.33,No,Grup B,1961-04-13,65,0.035
22021087Z,Núria,García López,Núria García López,Sí,Espanya,Madrid,8,6,1969,Dona,1422.09,No,Grup B,1969-06-08,57,0.035
29801291B,Toni,Castells Martínez,Toni Castells Martínez,Sí,Espanya,Barcelona,10,1,1981,Home,2175.57,Sí,Grup B,1981-01-10,45,0.035
83874145K,Chloé,Lefevre,Chloé Lefevre,No,França,Marsella,10,9,1973,Dona,1967.535,Sí,Grup B,1973-09-10,52,0.035
17029292R,Marc,Romero Martínez,Marc Romero Martínez,Sí,Espanya,Bilbao,4,7,1993,Home,2097.945,Sí,Grup B,1993-07-04,33,0.035
59690898N,Oriol,López Ferrer,Oriol López Ferrer,Sí,Espanya,Barcelona,3,11,1969,Home,1550.43,Sí,Grup B,1969-11-03,56,0.035
60170471X,Toni,Martínez Castells,Toni Martínez Castells,Sí,Espanya,Sevilla,20,4,1952,Altres,2203.515,No,Grup B,1952-04-20,74,0.035
37846341L,Isla,Jones,Isla Jones,No,Regne Unit,Manchester,26,6,1985,Dona,1461.42,Sí,Grup B,1985-06-26,41,0.035
33445957H,Eva,Ferrer Martínez,Eva Ferrer Martínez,Sí,Espanya,Sevilla,4,5,1960,Dona,1470.735,No,Grup B,1960-05-04,66,0.035
96482330F,Marc,Ferrer Ferrer,Marc Ferrer Ferrer,Sí,Espanya,Bilbao,20,3,1974,Home,1604.25,Sí,Grup B,1974-03-20,52,0.035
