DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
96880751H,Marta,Martínez Martínez,Marta Martínez Martínez,Sí,Espanya,Bilbao,23,8,1995,,2047.14,No,Grup C,1995-08-23,30,0.02
87645157V,Joan,López,Joan López,Sí,Espanya,Sevilla,13,10,1964,Home,2657.1,Sí,Grup C,1964-10-13,61,0.02
23837247D,Miguel,Oliveira Pereira,Miguel Oliveira Pereira,No,Portugal,Lisboa,19,9,1978,Home,2293.98,No,Grup C,1978-09-19,47,0.02
24894099R,Tomás,Rodríguez Fernández,Tomás Rodríguez Fernández,No,Argentina,Còrdova,20,4,1986,Home,2635.68,Sí,Grup C,1986-04-20,40,0.02
52684613F,Núria,Castells,Núria Castells,Sí,Espanya,Bilbao,14,11,1960,,2856.0,Sí,Grup C,1960-11-14,65,0.02
13327616P,Tomás,Fernández Álvarez,Tomás Fernández Álvarez,No,Argentina,Còrdova,8,9,1958,Home,2530.62,No,Grup C,1958-09-08,67,0.02
32306507M,Laia,López,Laia López,Sí,Espanya,Madrid,11,7,1964,,2104.26,Sí,Grup C,1964-07-11,62,0.02
69153285Z,Pau,Sánchez,Pau Sánchez,Sí,Espanya,Madrid,8,10,2001,Home,2132.82,No,Grup C,2001-10-08,24,0.02
61151031X,Toni,Martínez,Toni Martínez,Sí,Espanya,València,12,9,1992,Home,2599.98,Sí,Grup C,1992-09-12,33,0.02
53037156T,José,Ramírez Hernández,José Ramírez Hernández,No,Mèxic,Guadalajara,11,6,1966,Home,1967.58,No,Grup C,1966-06-11,60,0.02
39421964W,Marta,Ferrer López,Marta Ferrer López,Sí,Espanya,Sevilla,19,7,1969,,2471.46,No,Grup C,1969-07-19,56,0.02
41282325G,Marc,García,Marc García,Sí,Espanya,Madrid,19,10,1955,Home,2219.52,Sí,Grup C,1955-10-19,70,0.02
90370999E,Marc,Sánchez López,Marc Sánchez López,Sí,Espanya,Bilbao,6,8,1990,Home,2026.74,No,Grup C,1990-08-06,35,0.02
82284855A,Pau,Romero Romero,Pau Romero Romero,Sí,Espanya,Madrid,6,12,1988,Home,2776.44,No,Grup C,1988-12-06,37,0.02
30477300W,Sophie,Brown,Sophie Brown,No,Regne Unit,Londres,12,5,1956,Dona,1562.64,No,Grup C,1956-05-12,70,0.02
35957209T,Pau,López Martínez,Pau López Martínez,Sí,Espanya,València,1,1,1988,Home,2861.1,No,Grup C,1988-01-01,38,0.02
