DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
26930927E,Laia,Castells Ferrer,Laia Castells Ferrer,Sí,Espanya,Madrid,16,12,1953,Altres,2819.88,No,Grup D,1953-12-16,72,0.08
33234964B,Marta,Romero,Marta Romero,Sí,Espanya,Madrid,10,5,2001,Dona,3034.8,Sí,Grup D,2001-05-10,25,0.08
98967015K,Laia,Martínez Sánchez,Laia Martínez Sánchez,Sí,Espanya,Madrid,14,6,1961,Dona,2803.68,No,Grup D,1961-06-14,65,0.08
58465525T,Clara,Ferrer,Clara Ferrer,Sí,Espanya,Madrid,17,7,1990,Dona,2893.32,No,Grup D,1990-07-17,35,0.08
89245220G,Michel,Lefevre,Michel Lefevre,No,França,París,21,8,1974,Home,2873.88,No,Grup D,1974-08-21,51,0.08
32447081S,Marc,Martínez,Marc Martínez,Sí,Espanya,Sevilla,1,8,1977,Home,3283.2,No,Grup D,1977-08-01,48,0.08
79911049R,Lea,Schneider,Lea Schneider,No,Alemanya,Munic,22,9,1950,Dona,2881.44,Sí,Grup D,1950-09-22,75,0.08
31532532F,Laia,Castells,Laia Castells,Sí,Espanya,Bilbao,19,4,1950,Dona,2643.84,No,Grup D,1950-04-19,76,0.08
17081236L,Eva,Sánchez,Eva Sánchez,Sí,Espanya,Madrid,9,9,1992,Dona,3115.8,Sí,Grup D,1992-09-09,33,0.08
97855153L,Carla,Martínez,Carla Martínez,Sí,Espanya,Madrid,21,3,1973,Dona,3078.0,No,Grup D,1973-03-21,53,0.08
58847232T,Arnau,Sánchez García,Arnau Sánchez García,Sí,Espanya,València,24,2,1978,Home,3545.64,No,Grup D,1978-02-24,48,0.08
58966169Z,Núria,Sánchez Castells,Núria Sánchez Castells,Sí,Espanya,Madrid,12,5,1981,,2961.36,No,Grup D,1981-05-12,45,0.08
81229041Z,Carla,López Ferrer,Carla López Ferrer,Sí,Espanya,Sevilla,4,9,1962,Dona,3089.88,No,Grup D,1962-09-04,63,0.08
99258742G,Amina,Bennani,Amina Bennani,No,Marroc,Casablanca,22,10,2004,Dona,3183.84,Sí,Grup D,2004-10-22,21,0.08
33484869X,Jordi,Sánchez,Jordi Sánchez,Sí,Espanya,Barcelona,6,6,1981,Home,2976.48,No,Grup D,1981-06-06,45,0.08
